UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
oscread+  1137     1  1144  0    4 15:04 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1145     1  1145  0    3 15:04 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1145     1  1157  0    3 15:04 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1145     1  1158  0    3 15:04 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1147     1  1147  0    2 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
oscread+  1147     1  1149  0    2 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
oscread+  1151     1  1151  0    2 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
oscread+  1151     1  1153  0    2 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
oscread+  1155     1  1155  0    3 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1155     1  1159  0    3 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1155     1  1161  0    3 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1162  1023  1162 16    7 15:04 ?        00:20:42 /usr/bin/gnome-shell
oscread+  1162  1023  1167  0    7 15:04 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1162  1023  1171  0    7 15:04 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1162  1023  1176  0    7 15:04 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1162  1023  1177  0    7 15:04 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1162  1023  1178  0    7 15:04 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1162  1023  1179  0    7 15:04 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1166     1  1166  0    2 15:04 ?        00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
oscread+  1166     1  1168  0    2 15:04 ?        00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
oscread+  1181     1  1181  0    5 15:04 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1181     1  1183  0    5 15:04 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1181     1  1193  0    5 15:04 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1181     1  1194  0    5 15:04 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1181     1  1249  0    5 15:04 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1185     1  1185  0    3 15:04 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1185     1  1186  0    3 15:04 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1185     1  1190  0    3 15:04 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1198  1023  1198  0    5 15:04 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1198  1023  1260  0    5 15:04 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1198  1023  1262  0    5 15:04 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1198  1023  1263  0    5 15:04 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1198  1023  1266  0    5 15:04 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1199  1023  1199  0    3 15:04 ?        00:00:00 nm-applet
oscread+  1199  1023  1208  0    3 15:04 ?        00:00:00 nm-applet
oscread+  1199  1023  1218  0    3 15:04 ?        00:00:00 nm-applet
oscread+  1201  1023  1201  0    3 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1201  1023  1323  0    3 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1201  1023  1331  0    3 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1203  1023  1203  0    5 15:04 ?        00:00:05 nautilus -n
oscread+  1203  1023  1232  0    5 15:04 ?        00:00:00 nautilus -n
oscread+  1203  1023  1238  0    5 15:04 ?        00:00:00 nautilus -n
oscread+  1203  1023  1261  0    5 15:04 ?        00:00:00 nautilus -n
oscread+  1203  1023 11121  0    5 17:07 ?        00:00:00 nautilus -n
oscread+  1206  1023  1206  0   15 15:04 ?        00:00:01 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1225  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1227  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1228  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1311  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1312  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1313  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1314  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1315  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1316  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1317  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1318  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1319  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023  1320  0   15 15:04 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1206  1023 12255  0   15 17:07 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1207     1  1207  0    8 15:04 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1207     1  1220  0    8 15:04 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1207     1  1222  0    8 15:04 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1207     1  1223  0    8 15:04 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1207     1  1233  0    8 15:04 ?        00:00:27 /usr/lib/tracker/tracker-store
oscread+  1207     1  1234  0    8 15:04 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1207     1  1235  0    8 15:04 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1207     1  1236  0    8 15:04 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1210  1023  1210  0    4 15:04 ?        00:00:00 zeitgeist-datahub
oscread+  1210  1023  1214  0    4 15:04 ?        00:00:00 zeitgeist-datahub
oscread+  1210  1023  1246  0    4 15:04 ?        00:00:00 zeitgeist-datahub
oscread+  1210  1023  1247  0    4 15:04 ?        00:00:00 zeitgeist-datahub
oscread+  1211  1023  1211  0    5 15:04 ?        00:00:01 /usr/lib/tracker/tracker-miner-fs
oscread+  1211  1023  1224  0    5 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1211  1023  1226  0    5 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1211  1023  1229  0    5 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1211  1023 12254  0    5 17:07 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1212  1023  1212  0    3 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1212  1023  1324  0    3 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1212  1023  1329  0    3 15:04 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1215  1023  1215  0    2 15:04 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
oscread+  1215  1023  1280  0    2 15:04 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
oscread+  1217     1  1217  0    2 15:04 ?        00:00:00 /usr/bin/zeitgeist-daemon
oscread+  1217     1  1219  0    2 15:04 ?        00:00:00 /usr/bin/zeitgeist-daemon
oscread+  1231     1  1231  0    1 15:04 ?        00:00:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
oscread+  1243     1  1243  0    3 15:04 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1243     1  1251  0    3 15:04 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1243     1  9844  0    3 16:55 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1252     1  1252  0    6 15:04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1252     1  1293  0    6 15:04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1252     1  1299  0    6 15:04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1252     1  1300  0    6 15:04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1252     1  1301  0    6 15:04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1252     1  1303  0    6 15:04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
